,action,block_time,cost_basis,estimated_profit,ranking,token,traded_token,volume,wallet_address
0,sell,2021-07-11 09:41:49.000 UTC,36.856832747751305,,1,CORN,WMATIC,0.015703497016124144,"<a href=https://polygonscan.com//address/0x891e17d6f72157b406bde44cdaa0f6e86732dd3d target=_blank"">0x891e17d6f72157b406bde44cdaa0f6e86732dd3d</a>"
1,sell,2021-07-26 13:44:45.000 UTC,40.326064492363805,,2,CORN,WMATIC,0.019708519471893504,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
2,sell,2021-07-05 12:25:27.000 UTC,,,3,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
3,buy,2023-03-20 21:12:40.000 UTC,7.1086959969846815,,4,CORN,WMATIC,4.737643212415886,"<a href=https://polygonscan.com//address/0xdef171fe48cf0115b1d80b88dc8eab59176fee57 target=_blank"">0xdef171fe48cf0115b1d80b88dc8eab59176fee57</a>"
4,sell,2021-07-04 18:02:33.000 UTC,41.366733658628085,,5,CORN,WMATIC,0.02786068175267751,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
5,sell,2021-09-05 04:34:21.000 UTC,32.79469337174943,,6,CORN,WMATIC,18.381805111699933,"<a href=https://polygonscan.com//address/0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827 target=_blank"">0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827</a>"
6,sell,2022-03-01 14:09:43.000 UTC,13.99035660457723,,7,CORN,WMATIC,27.98071320915446,"<a href=https://polygonscan.com//address/0xadbf1854e5883eb8aa7baf50705338739e558e5b target=_blank"">0xadbf1854e5883eb8aa7baf50705338739e558e5b</a>"
7,sell,2021-06-10 16:37:26.000 UTC,41.993672391092936,,8,CORN,WMATIC,33.59493791287435,"<a href=https://polygonscan.com//address/0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827 target=_blank"">0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827</a>"
8,buy,2021-07-04 05:25:11.000 UTC,,,9,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
9,sell,2021-09-20 22:38:23.000 UTC,,,10,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
