,address,tokens_bought,tokens_sold,total_transactions,unique_tokens_bought,unique_tokens_sold,net_posters
0,0x39da41747a83aee658334415666f3ef92dd0d541,1243,1243,2486,1031,1031,0
1,0xca86d57519dbfe34a25eef0923b259ab07986b71,1092,1092,2184,389,389,0
2,0x995bf64daba77afc7a26cb2eb8ddf1404921904a,552,552,1104,322,322,0
3,0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d,533,532,1065,518,517,1
4,0xa580bfa51f601abaf1ac4d95c4979a9a8490503a,519,0,519,519,0,519
5,0xff76aec6a91003efd97eb8e2d3ecc7dfe46d347c,336,138,474,336,138,198
6,0xee07582915f320cf9d522e036dfbee9e3e7cc003,207,205,412,193,192,2
7,0x2984542c5cc06a7094e400df3e07245202a28e37,187,187,374,163,163,0
8,0x6aa76d504186a39a6e2d1dbe15fd84bc7812e15a,179,179,358,179,179,0
9,0xfb4d040f2adde9ccbacd49dcffc17e2c00540bdf,179,179,358,179,179,0
10,0x4268560e1fd35f4006af49dbfb8db2edb218424f,167,167,334,133,133,0
11,0xb3c5b28ca329278737eb4c241c248c983bde2309,137,137,274,130,130,0
12,0x47693c2d01ea94ce3ced39544ccf221091195d73,124,124,248,117,117,0
13,0x91d674cbcc25cec8cfd7ea1f93bd58ccaec45bdd,121,115,236,112,110,6
14,0xe46a5dfd891bc7a83115f8ed5c1dee7bd86459d8,118,117,235,116,115,1
15,0xfcdff567626d45a60d8e0b223a74cc93dc8b0c6e,113,113,226,111,111,0
16,0xc841b289918a1a7559263bc4c78af1ed15dd49c4,103,103,206,103,103,0
17,0xf6d0674ad1edd38765f777eb9faf33e1cb1a401c,98,98,196,94,94,0
18,0xca41a5fccf73d0793bdf8657ed4010ec40f10f2c,91,90,181,91,90,1
19,0xa111f44ba2f4055e24cb50dd9f7a321680b088cf,90,90,180,87,87,0
20,0x4a4d944301507a175824de2dae490e9aeca5c347,177,0,177,177,0,177
21,0x6f7ce10cf9335216f63f37f15d6734a1d417db92,88,88,176,87,87,0
22,0x85a7951a4d6cbe216da59f169774510f0f172e86,86,86,172,82,82,0
23,0xa6e950aa70ebaaf99686a5d95afe8aca8b5e353b,86,86,172,86,86,0
24,0x1a9a0b97ce419891f67468f81c91bc82497956e8,97,74,171,96,73,23
25,0x7d32184150b6f100f3bc8c5b938838be5435fe3b,120,48,168,120,48,72
26,0x1dd50940e8a52ae46d8d4953922ff204a3e8a698,119,36,155,118,36,83
27,0x1e2ab2c1ee48aa5c705e6a638087bf7fc1877095,77,77,154,75,75,0
28,0xb0d0b6da40e1b3abca12a38f5bd95793de935635,80,73,153,79,72,7
29,0x63c8bc272893ec40ce9bc2041cecb19b58531dcd,76,76,152,75,75,0
30,0x26430b7967c92b913752733003208f924381e5bf,73,73,146,71,71,0
31,0xd67360166baf50bd81bf7972ae5a4bc105e79f2a,72,72,144,72,72,0
32,0x32cc2ec897f21a77a704e9a7313af6a640c47bb5,88,55,143,88,55,33
33,0x5214249e9c1baf1a5034b2d3ffe7a62853cd1976,71,71,142,70,70,0
34,0x40e2e1f240d8f642703f7bd3e4914405f5159068,75,67,142,75,67,8
35,0x8956652eef9b16841fa3188aeed5135bde11c11b,71,71,142,68,68,0
36,0x1064aa646a7aedbd40816fc0c35e044d0244a764,68,68,136,68,68,0
37,0xa69833b9fda816f1bfc79517e7932e64708df0dd,65,65,130,57,57,0
38,0x90b74ef7bc1975bcb1c67450c7b1575922b67e54,64,64,128,58,58,0
39,0xb35248feeb246b850fac690a1beaf5130dc71894,62,62,124,61,61,0
40,0xffce05977d9bbb31a2afeb10980f7e35247d1121,60,60,120,59,59,0
41,0xdf2d3dd3b5d943cd9222956a3d75fa7037598bcf,60,60,120,60,60,0
42,0xc270b3a8428b222905c2564b0118fb4a0e10bb81,61,58,119,60,57,3
43,0x5d0d47f2eea897c2c56f79ff18ce0e3eb24bdd71,59,59,118,55,55,0
44,0x46ed3e4ce79e0b0634ccb03032829c076ad2a76a,88,28,116,88,28,60
45,0x5b8f1daad43d779577ac05061a6b1546a29b47d1,58,58,116,56,56,0
46,0xb68babf19df3889f5185576f7f657c9272923002,58,57,115,57,56,1
47,0x899cd70ad8f1b9bdfc9a179e7f6dcab6f9caab41,55,55,110,55,55,0
48,0x708c9d44eafac41fa7217bd8390fc2b18613e739,56,54,110,56,54,2
49,0x08519d0393a67c107428170288c0af1d4f62095b,59,51,110,55,47,8
50,0x4dbe965abcb9ebc4c6e9d95aeb631e5b58e70d5b,55,54,109,55,54,1
51,0xef0b56692f78a44cf4034b07f80204757c31bcc9,54,54,108,53,53,0
52,0x6806d532d4bebd51d1a9823f4a86da366cdeb81d,54,54,108,54,54,0
53,0xc46bfd225ad359f78c7fe84d50619977c6b7f318,64,41,105,64,41,23
54,0x244d265562cd38b102276fdb040b824a78620aa2,53,52,105,53,52,1
55,0x497d55d85955b153c74f6c6740b29dffc0286747,52,52,104,51,51,0
56,0x5fa53c4f055bd1ba0380b45fc85e39d79b2975ba,51,51,102,51,51,0
57,0x3e8a1026bbca3777b3e59fc4646a812480c5d1b9,50,50,100,50,50,0
58,0x4a60a51b200cfc0224645c515530dcb3effcb370,50,50,100,50,50,0
59,0x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,49,49,98,49,49,0
60,0x1711bc52bf7e0494325799717fe640f1924617b7,48,48,96,48,48,0
61,0x13fb8e9df53dde6fb1a4018b3bd76e7f170933c3,47,47,94,47,47,0
62,0x9a667b44133fc912cdcb22f349c2be64c0f3dc60,47,47,94,47,47,0
63,0xaa99ff74db86e286d59ff65b64394be605771b7c,47,47,94,46,46,0
64,0xa07c565326376055dcfa206ef5b84ae471fb735b,46,44,90,43,43,2
65,0x3b84da615a62c230bc322ee74f8631ecdd150c2a,45,45,90,41,41,0
66,0xf8c9be2ce5a48014d4686a0871361ddb5e08fc86,44,44,88,43,43,0
67,0x64ba57bf7977dc2c60a5c9935e01e2bc6cf638ca,45,43,88,44,42,2
68,0x94e0806e154fb7a2e7839c63693ecba45a2a8474,44,44,88,44,44,0
69,0x2593ea3d5cf8af946993ce5c9d89029f596ac186,42,41,83,41,41,1
70,0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e,44,39,83,44,39,5
71,0xbbe028771d7d3f9198824659dc18ac438eff1a9f,43,40,83,43,40,3
72,0xb610bcc876650528c83f931727d625dc91905fbd,41,41,82,41,41,0
73,0x486df54de19dca684656d55b8202c68b8abb2ebc,42,40,82,40,38,2
74,0xc4ba8f21c0dd755cfeff899c4f791c634ca5c6db,44,36,80,44,36,8
75,0x3f0fb61b79ceea17dcf7a7f38446485c2fc10ed1,40,40,80,40,40,0
76,0xb203516e1635f6a0cea73420af6357a95a4923c9,62,18,80,61,17,44
77,0x2a2b31ed1fc4b330bc8ef71c68e1b7013d4a23ee,42,38,80,42,38,4
78,0x4e6de45f059faf424faba2a25f266f8863cfab5a,41,38,79,41,38,3
79,0xde02fffb824720e25674a604baf2277f21c66a0f,39,39,78,36,36,0
80,0x1d6221b70e09af34b2fcf873db50c484fa912a28,39,39,78,39,39,0
81,0xe11925dddded86a78552ddf7100b451cf22743b4,39,38,77,31,31,1
82,0xe8404b4ac20c808789662bc38ed9b0387cd0c8d4,43,34,77,43,34,9
83,0xad63e4d4be2229b080d20311c1402a2e45cf7e75,38,37,75,36,36,1
84,0xc28d30dd716a40b0c19215b732ce7be0e80a5098,38,37,75,37,36,1
85,0xbfbf0df4f7da7429d523fb7b6ecbdc8b817b9b54,53,22,75,53,22,31
86,0x81e697f4b046f20277e8f433e2451fc682c5a809,37,37,74,37,37,0
87,0x93a692fe5477902c3cf5f6997c1cf59a3712ced4,36,36,72,35,35,0
88,0xfe8312a959e031c7d4cbe3f9cdd3ec8726d0d80e,36,36,72,35,35,0
89,0x3d97ad12d40ea711d88b53680b3ae19aa5ec870d,44,27,71,44,27,17
90,0xaeb27a64cdee1aa56d49e45f26a3a8b736b97899,35,35,70,33,33,0
91,0x7912b5866df9de1bc8d8c2447498ac8366a7e8ee,35,35,70,35,35,0
92,0xd5e0cafae7917d6f6550debd76c21b4d7c7ade3b,35,35,70,35,35,0
93,0x7a6b049d83554da1175d65be3f6264a74a05ae17,35,35,70,31,31,0
94,0x6cb1697fe884570681eda5e4bc73b6cbdea1c61c,36,34,70,36,34,2
95,0x617c582878bda02d73b803050d9777c01b6452ae,34,34,68,34,34,0
96,0xf425710ffdbcbff78fe1da6bec448475f4568566,35,33,68,32,30,2
97,0x491064fe955237b6f21545e89e2fb54e97ec2bba,34,34,68,34,34,0
98,0x5e05a68e939e4e9dfa93eb400e9f85e59916ed8b,67,0,67,67,0,67
99,0x9f75c7c19ffeb95b47e62b2c37ffae12de759485,34,33,67,33,32,1
100,0x4f59ce7bb4777b536f09116b66c95a5d1ea8a8e6,33,33,66,33,33,0
101,0x560a2edd994f2ba4883cdf8e0d164558d8c803ac,33,33,66,33,33,0
102,0xcf86b3a45654fd54810ea19ea31b9cf104da349e,33,33,66,33,33,0
103,0x2332432309fc5496a2602e0d848d207a8d93ed50,35,31,66,35,31,4
104,0xf31f233d54e7c7070f88c9bf3fa721e0abf3e50d,33,33,66,33,33,0
105,0x5c82185a70b321e54e2938f3a2abef2639e0e646,44,22,66,44,22,22
106,0xfa731efe4096c4da54da115fb9f50e2e3748c7e8,34,32,66,34,32,2
107,0x08d92949e010a06f528a55a32b3ebd9d910ee0cb,42,23,65,42,23,19
108,0x877e26dee84162f7f078be2b9bac46234c68dd1c,33,32,65,30,29,1
109,0x6d02ce0cd50bff383035e1de5c8b2235fb22e4e8,32,32,64,31,31,0
110,0xc0fffee2d6b8067ea5d1d7a213bf6af835af2c84,32,32,64,32,32,0
111,0x9ac49d2ff6d3cafb8811d3de84cfe065b55cdfff,32,31,63,32,31,1
112,0xa89c876be69223295a0925d7a62cb6868dec4ac8,32,31,63,32,31,1
113,0x70cc3e1a38e5756cd6f5ae1107ff5012701ebd97,31,31,62,31,31,0
114,0xbea8017ccf98017c698a10065d01fdc480930366,31,31,62,31,31,0
115,0x88011e1e335e4dde0eb0dc37d23c57bdd00c543e,31,31,62,30,30,0
116,0x67d21ebd269d61ef8cd9f0f3698869b3d818a4b5,31,30,61,31,30,1
117,0x5802e0c5e3a0d87f9de0be710add41c54b4f1eb4,32,29,61,32,29,3
118,0xa81b68a8c2975ff94d8651fa90d6688b4d1501e6,31,30,61,30,29,1
119,0x1a32b5993f42e3df3e37cbce3cf270d44a91a960,30,30,60,30,30,0
120,0x66c7fc6703c218b2485a67a91bb9b474e14b5d22,30,30,60,30,30,0
121,0xa17138c0675173b8ea506fb1b96fa754bc316cc2,30,30,60,30,30,0
122,0xeedb1b02d308bf3644f9f4caf88aa15eefed01e8,30,30,60,27,27,0
123,0x1f12f614e39f93b451903de3ebafe70a3a1891fa,30,29,59,30,29,1
124,0xde2594f3f6490e6ca0c5a6062e4a365fc7afa3eb,29,29,58,29,29,0
125,0x983cce9addf988e4cccd948804bec67904799fe5,29,29,58,29,29,0
126,0x39b557a249706cac1dffe157ce5d25ff1791b56f,29,29,58,29,29,0
127,0x5459230652f4f145b549485446d2665a841934d4,29,29,58,28,28,0
128,0xa64b6b692049f3cd7c46f6380643c7a02a0d4daf,29,29,58,29,29,0
129,0xe69dab397b59f52dc8b65c01533a17538a07e2dd,29,28,57,23,23,1
130,0x64454fb0cd4861e55da09e032424841927740ee5,28,28,56,18,18,0
131,0x0595cc0e36af4d2e11b23cb446ed02eaea7f87fd,30,26,56,30,26,4
132,0x99dc51c56c2545cfa5d3052ff945d8dffea82f02,32,24,56,32,24,8
133,0xb3771717823b9e4b7f775aa6d656b5f5936cc7e9,28,28,56,28,28,0
134,0xbb6712a513c2d7f3e17a40d095a773c5d98574b2,28,27,55,28,27,1
135,0x7e4d576d3812bc38afcb098259817cc970a227c0,27,27,54,27,27,0
136,0x1701f10ea16e95648e3450488e1e2da9102774e5,43,11,54,43,11,32
137,0x96444a022d301a25d9201afb99f70dcd0a2c8192,27,27,54,27,27,0
138,0x88a2a83560e9aea82413ad4101a230602ae4778f,27,27,54,26,26,0
139,0xf2dc3979185d57fab59d8e82bdcbb4168d77f36f,31,23,54,31,23,8
140,0x6b08770fc5804862217ffccd03a468a83965914e,49,4,53,49,4,45
141,0x5de9a5e7faca98035a4badff53a63bc48731ebbd,26,26,52,24,24,0
142,0x593e470515323677dae35f2713aef5afffe2295d,26,26,52,26,26,0
143,0x3e9406eb7b05f47b13cfa3ad9e6d0e7fa60e16dc,26,26,52,26,26,0
144,0x4ca8ad618eeadebc07fdc4da8ae0c84d88ec3deb,26,26,52,26,26,0
145,0xa996d391f64158fb17fb71d6a4fad67df7410895,30,22,52,30,22,8
146,0xfe0878b60755dc73278f95f2785c7d4dca805a06,25,25,50,25,25,0
147,0xbc02d04a1665486bc6e58eca5f63b387d07109a3,26,24,50,26,24,2
148,0x2eaceaf721fd3df4d36d0d59c7922528f96fcf3d,25,25,50,20,20,0
149,0xe5a7a206e9a8769f90ca792ebb68e9268231f717,25,25,50,25,25,0
150,0x368ac0e139139d7376a2d6cce827d473693371a3,25,25,50,25,25,0
151,0x4268be2886a1c9a4aaac101a95a6cdb86f48463d,25,25,50,25,25,0
152,0x11ac7890d565b6a210752b6304a57d12ee5635eb,25,25,50,25,25,0
153,0xcedbf8fc26fb6aacd5e7504a072df8d7aeff0f61,25,25,50,25,25,0
154,0x693e1aea486c80d34124c6dc3edddd325a41abe9,25,25,50,25,25,0
155,0x1f5bbef0722b6188b87b29dff530d6cfb5a46967,33,16,49,33,16,17
156,0xfb2292dbc5cd18446e58a3a15bfd52ea585a23e6,24,24,48,24,24,0
157,0xd1282134a3481cb548504073ea31e602228f15b1,33,15,48,33,15,18
158,0x4b6da363479ee352f7e5814737417118a69adb43,24,24,48,24,24,0
159,0x3a01a1bb443d13492f1c5cb9f25e3058fd9b67c4,24,24,48,23,23,0
160,0xb855c4ebb5b6eb3f2033aecc4e543e27bc39465d,24,24,48,24,24,0
161,0x05703e9290d657d262e500be71779eb6b452b93e,24,24,48,24,24,0
162,0x9cf5dec27768855d478152128851ebde74f6a3ed,26,22,48,20,17,4
163,0x0f6e4145e878ae9047d55c5f24c7337d27a9bc89,23,23,46,23,23,0
164,0xbaaba861464f25f52c2ee10cc3ac024f4f77812a,23,23,46,23,23,0
165,0x715af6b6c6e3aefb97f1f6811ce52db563b38896,23,23,46,22,22,0
166,0x9919eacb27ebab49f824ece3d9733010cf707807,23,23,46,23,23,0
167,0x53b63171833cd77425ba9f3300ae0113ce64985d,23,23,46,23,23,0
168,0x3075b28dd7a025901c7a099c87c7c9e4062956c0,23,23,46,23,23,0
169,0x92a89a5a8ffd673c491c3d8b167a1715e7a2e5f1,23,23,46,23,23,0
170,0x2845633f9cd219b43be29cae1ad4b776865e51d0,23,23,46,23,23,0
171,0xb84f8b0ab8b322045bb311689f3533ed99f4f246,37,9,46,36,9,28
172,0xd3480dba9a6e999c3b404d5858e76ed44eb31d4c,24,22,46,24,22,2
173,0x4dff46c516cf287e9bed9b85d70c537b792f4f74,23,23,46,23,23,0
174,0xa33b3ca53c9d60a5d4d195e22fefa73f88ba81be,23,23,46,23,23,0
175,0xed47a1ad6d88cac2bba469df1ea149034cba63b6,38,7,45,38,7,31
176,0x874df3dda021045f17542593e161c2c7366ae266,24,21,45,24,21,3
177,0xa9d1f0b36e98e7dc14afa10c35b20296bc71e242,28,16,44,28,16,12
178,0x99dc81489b75268baad66e2eb2301371d1ce235a,22,22,44,22,22,0
179,0x3e18e3987b3b73f4e7cb80e2b25776df7a30bb8b,22,22,44,21,21,0
180,0xaeb66f400f288521ad03087815bdba4c74bb9eef,22,22,44,22,22,0
181,0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,22,22,44,22,22,0
